1,1,0
2,10,1
3,11,1
4,100,2
5,101,2
6,110,3
7,111,1
8,1000,3
9,1001,3
10,1010,5
11,1011,2
12,1100,5
13,1101,3
14,1110,4
15,1111,1
16,10000,4
17,10001,4
18,10010,7
19,10011,3
20,10100,8
21,10101,5
22,10110,7
23,10111,2
24,11000,7
25,11001,5
26,11010,8
27,11011,3
28,11100,7
29,11101,4
30,11110,5
31,11111,1
32,100000,5
33,100001,5
34,100010,9
35,100011,4
36,100100,11
37,100101,7
38,100110,10
39,100111,3
40,101000,11
41,101001,8
42,101010,13
43,101011,5
44,101100,12
45,101101,7
46,101110,9
47,101111,2
48,110000,9
49,110001,7
50,110010,12
51,110011,5
52,110100,13
53,110101,8
54,110110,11
55,110111,3
56,111000,10
57,111001,7
58,111010,11
59,111011,4
60,111100,9
61,111101,5
62,111110,6
63,111111,1
64,1000000,6
65,1000001,6
66,1000010,11
67,1000011,5
68,1000100,14
69,1000101,9
70,1000110,13
71,1000111,4
72,1001000,15
73,1001001,11
74,1001010,18
75,1001011,7
76,1001100,17
77,1001101,10
78,1001110,13
79,1001111,3
80,1010000,14
81,1010001,11
82,1010010,19
83,1010011,8
84,1010100,21
85,1010101,13
86,1010110,18
87,1010111,5
88,1011000,17
89,1011001,12
90,1011010,19
91,1011011,7
92,1011100,16
93,1011101,9
94,1011110,11
95,1011111,2
96,1100000,11
97,1100001,9
98,1100010,16
99,1100011,7
100,1100100,19
101,1100101,12
102,1100110,17
103,1100111,5
104,1101000,18
105,1101001,13
106,1101010,21
107,1101011,8
108,1101100,19
109,1101101,11
110,1101110,14
111,1101111,3
112,1110000,13
113,1110001,10
114,1110010,17
115,1110011,7
116,1110100,18
117,1110101,11
118,1110110,15
119,1110111,4
120,1111000,13
121,1111001,9
122,1111010,14
123,1111011,5
124,1111100,11
125,1111101,6
126,1111110,7
127,1111111,1
128,10000000,7
129,10000001,7
130,10000010,13
131,10000011,6
132,10000100,17
133,10000101,11
134,10000110,16
135,10000111,5
136,10001000,19
137,10001001,14
138,10001010,23
139,10001011,9
140,10001100,22
141,10001101,13
142,10001110,17
143,10001111,4
144,10010000,19
145,10010001,15
146,10010010,26
147,10010011,11
148,10010100,29
149,10010101,18
150,10010110,25
151,10010111,7
152,10011000,24
153,10011001,17
154,10011010,27
155,10011011,10
156,10011100,23
157,10011101,13
158,10011110,16
159,10011111,3
160,10100000,17
161,10100001,14
162,10100010,25
163,10100011,11
164,10100100,30
165,10100101,19
166,10100110,27
167,10100111,8
168,10101000,29
169,10101001,21
170,10101010,34
171,10101011,13
172,10101100,31
173,10101101,18
174,10101110,23
175,10101111,5
176,10110000,22
177,10110001,17
178,10110010,29
179,10110011,12
180,10110100,31
181,10110101,19
182,10110110,26
183,10110111,7
184,10111000,23
185,10111001,16
186,10111010,25
187,10111011,9
188,10111100,20
189,10111101,11
190,10111110,13
191,10111111,2
192,11000000,13
193,11000001,11
194,11000010,20
195,11000011,9
196,11000100,25
197,11000101,16
198,11000110,23
199,11000111,7
200,11001000,26
201,11001001,19
202,11001010,31
203,11001011,12
204,11001100,29
205,11001101,17
206,11001110,22
207,11001111,5
208,11010000,23
209,11010001,18
210,11010010,31
211,11010011,13
212,11010100,34
213,11010101,21
214,11010110,29
215,11010111,8
216,11011000,27
217,11011001,19
218,11011010,30
219,11011011,11
220,11011100,25
221,11011101,14
222,11011110,17
223,11011111,3
224,11100000,16
225,11100001,13
226,11100010,23
227,11100011,10
228,11100100,27
229,11100101,17
230,11100110,24
231,11100111,7
232,11101000,25
233,11101001,18
234,11101010,29
235,11101011,11
236,11101100,26
237,11101101,15
238,11101110,19
239,11101111,4
240,11110000,17
241,11110001,13
242,11110010,22
243,11110011,9
244,11110100,23
245,11110101,14
246,11110110,19
247,11110111,5
248,11111000,16
249,11111001,11
250,11111010,17
251,11111011,6
252,11111100,13
253,11111101,7
254,11111110,8
255,11111111,1
256,100000000,8
257,100000001,8
258,100000010,15
259,100000011,7
260,100000100,20
261,100000101,13
262,100000110,19
263,100000111,6
264,100001000,23
265,100001001,17
266,100001010,28
267,100001011,11
268,100001100,27
269,100001101,16
270,100001110,21
271,100001111,5
272,100010000,24
273,100010001,19
274,100010010,33
275,100010011,14
276,100010100,37
277,100010101,23
278,100010110,32
279,100010111,9
280,100011000,31
281,100011001,22
282,100011010,35
283,100011011,13
284,100011100,30
285,100011101,17
286,100011110,21
287,100011111,4
288,100100000,23
289,100100001,19
290,100100010,34
291,100100011,15
292,100100100,41
293,100100101,26
294,100100110,37
295,100100111,11
296,100101000,40
297,100101001,29
298,100101010,47
299,100101011,18
300,100101100,43
301,100101101,25
302,100101110,32
303,100101111,7
304,100110000,31
305,100110001,24
306,100110010,41
307,100110011,17
308,100110100,44
309,100110101,27
310,100110110,37
311,100110111,10
312,100111000,33
313,100111001,23
314,100111010,36
315,100111011,13
316,100111100,29
317,100111101,16
318,100111110,19
319,100111111,3
320,101000000,20
321,101000001,17
322,101000010,31
323,101000011,14
324,101000100,39
325,101000101,25
326,101000110,36
327,101000111,11
328,101001000,41
329,101001001,30
330,101001010,49
331,101001011,19
332,101001100,46
333,101001101,27
334,101001110,35
335,101001111,8
336,101010000,37
337,101010001,29
338,101010010,50
339,101010011,21
340,101010100,55
341,101010101,34
342,101010110,47
343,101010111,13
344,101011000,44
345,101011001,31
346,101011010,49
347,101011011,18
348,101011100,41
349,101011101,23
350,101011110,28
351,101011111,5
352,101100000,27
353,101100001,22
354,101100010,39
355,101100011,17
356,101100100,46
357,101100101,29
358,101100110,41
359,101100111,12
360,101101000,43
361,101101001,31
362,101101010,50
363,101101011,19
364,101101100,45
365,101101101,26
366,101101110,33
367,101101111,7
368,101110000,30
369,101110001,23
370,101110010,39
371,101110011,16
372,101110100,41
373,101110101,25
374,101110110,34
375,101110111,9
